,u,i,ts,label,idx
0,34,1701,0.0,0,1
1,327,1728,2332800.0,0,2
2,59,1694,2505600.0,0,3
3,34,1691,8380800.0,0,4
4,64,1696,31363200.0,0,5
5,64,1695,33264000.0,0,6
6,416,1739,38880000.0,0,7
7,63,1694,69897600.0,0,8
8,503,1754,77587200.0,0,9
9,63,1748,83721600.0,0,10
10,34,1748,84931200.0,0,11
11,415,1738,92448000.0,0,12
12,63,1750,94348800.0,0,13
13,267,1748,95990400.0,0,14
14,267,1718,101606400.0,0,15
15,267,1719,101606400.0,0,16
16,324,1728,103248000.0,0,17
17,59,1702,105235200.0,0,18
18,224,1713,105321600.0,0,19
19,44,1692,123206400.0,0,20
20,145,1702,124329600.0,0,21
21,458,1749,132019200.0,0,22
22,418,1739,134784000.0,0,23
23,711,1787,139190400.0,0,24
24,444,1746,139708800.0,0,25
25,444,1748,139708800.0,0,26
26,143,1701,151027200.0,0,27
27,145,1701,155433600.0,0,28
28,227,1718,158371200.0,0,29
29,227,1748,158371200.0,0,30
30,227,1713,158976000.0,0,31
31,227,1745,158976000.0,0,32
32,905,1835,165283200.0,0,33
33,248,1717,166924800.0,0,34
34,166,1745,167616000.0,0,35
35,166,1718,167875200.0,0,36
36,454,1748,169516800.0,0,37
37,414,1792,169776000.0,0,38
38,151,1702,170899200.0,0,39
39,414,1738,172022400.0,0,40
40,414,1745,172022400.0,0,41
41,414,1747,172022400.0,0,42
42,414,1748,179452800.0,0,43
43,141,1721,185068800.0,0,44
44,291,1722,186710400.0,0,45
45,250,1717,186883200.0,0,46
46,250,1749,186883200.0,0,47
47,262,1718,188956800.0,0,48
48,262,1748,193363200.0,0,49
49,600,1770,193449600.0,0,50
50,194,1709,194054400.0,0,51
51,520,1836,194140800.0,0,52
52,565,1767,194918400.0,0,53
53,224,1718,195004800.0,0,54
54,1315,1928,195177600.0,0,55
55,1315,1929,195177600.0,0,56
56,36,1834,195523200.0,0,57
57,520,1834,196214400.0,0,58
58,520,1786,196819200.0,0,59
59,262,1842,196992000.0,0,60
60,449,1865,196992000.0,0,61
61,37,1692,197856000.0,0,62
62,449,1748,198115200.0,0,63
63,37,2039,198288000.0,0,64
64,520,1788,198806400.0,0,65
65,200,1754,198892800.0,0,66
66,37,1747,199324800.0,0,67
67,141,1810,199756800.0,0,68
68,130,1813,200448000.0,0,69
69,1005,1865,202867200.0,0,70
70,1237,1899,203040000.0,0,71
71,825,1815,205718400.0,0,72
72,1090,1865,206150400.0,0,73
73,92,1793,206668800.0,0,74
74,243,1717,208137600.0,0,75
75,54,1758,208310400.0,0,76
76,101,1697,209347200.0,0,77
77,267,1746,209779200.0,0,78
78,520,1758,210643200.0,0,79
79,787,1803,210643200.0,0,80
80,441,1744,212544000.0,0,81
81,225,1713,213408000.0,0,82
82,448,1748,213580800.0,0,83
83,448,1792,213667200.0,0,84
84,599,1770,214272000.0,0,85
85,60,1891,214963200.0,0,86
86,324,1808,215568000.0,0,87
87,106,1865,216777600.0,0,88
88,420,1739,217296000.0,0,89
89,711,1865,217468800.0,0,90
90,532,1830,218246400.0,0,91
91,716,1787,219628800.0,0,92
92,716,1836,219628800.0,0,93
93,143,1754,220492800.0,0,94
94,404,1736,222048000.0,0,95
95,30,1702,222480000.0,0,96
96,290,1752,222652800.0,0,97
97,758,1793,223084800.0,0,98
98,54,1694,223430400.0,0,99
99,261,1717,223516800.0,0,100
100,261,1745,223516800.0,0,101
